Column Name,RW Map Rule,CTR Map Rule,RW Alias
Booking Point,,null_in_var,
CSA Eligible,,,
Facility ID,,null_in_var,
GL Account,,null_in_var,
GL Notional,,null_in_var,
ID,,id_change,
Mandatory Put,,,
Name,,ctr_to_var_name,
Pay Compounding Method,,space_to_underline,
Pay Fees,remove_bracket_round_notional_two_decimals,,
Pay Frequency,,,
Pay Mode,,space_to_underline,
Pay Payment Holiday,,holiday_org,
Pay Reset Arrears,true_to_Y_and_false_to_N,,
Pay Reset Freq,,,
Pay Reset Holiday,,holiday_org,
Pay Resets,,,
Pay Spread,,,
Pay UpFront Fee,,null_in_var,
Product Type,,null_in_var,
PV Todays Payments,,null_in_var,
Rec Cash Flow,,null_in_var,
Rec Compounding Method,,null_in_var,
Rec DateAdj Type,,null_in_var,
Rec Fees,remove_bracket_round_notional_two_decimals,,
Rec Fraction of Index,,,
Rec Frequency,,,
Rec Mode,,space_to_underline,
Rec PayLag Convention,,null_in_var,
Rec Payment Holiday,,holiday_org,
Rec Reset Arrears,true_to_Y_and_false_to_N,,
Rec Reset Freq,,null_in_var,
Rec Reset Holiday,,holiday_org,
Rec Resets,,,
Rec Spread,,,
Rec UpFront Fee,,null_in_var,
Spec Pay IndexFreqUnit,,spec_units,
Spec Pay PayFreq,,null_in_var,
Spec Pay PayFreqUnit,,null_in_var,
Spec Pay ResetFreqUnit,,spec_units,
Spec Rec IndexFreqUnit,,spec_units,
Spec Rec PayFreqUnit,,spec_units,
Spec Rec ResetFreqUnit,,spec_units,
Stripped PV,,null_in_var,
Swap Notional,,,
Swap Rec Notional,,,
Trading,,null_in_var,
Variable Notional,,,
